,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,125.48,0.18,359.55,1.54e-09,122.8,15.1,-13.6,18.8,27.1,-1.9,2.36082e-09
1,125.38,0.18,359.55,1.564e-09,122.6,15.0,-14.8,18.8,23.2,-2.2,2.394484e-09
2,125.28,0.18,359.55,1.589e-09,122.5,14.9,-11.6,18.9,24.5,-2.6,2.326296e-09
3,125.18,0.18,359.55,1.614e-09,122.4,14.9,-13.2,18.9,19.7,-3.1,2.466192e-09
4,125.08,0.18,359.55,1.64e-09,122.3,14.8,-14.3,19.0,17.8,-3.7,2.46492e-09
5,124.98,0.18,359.55,1.666e-09,122.1,14.8,-14.2,19.1,19.1,-3.6,2.397374e-09
6,124.88,0.18,359.55,1.692e-09,122.0,14.7,-11.0,19.1,17.9,-4.0,2.194524e-09
7,124.78,0.18,359.55,1.719e-09,121.9,14.6,-14.0,19.2,21.4,-4.5,2.049048e-09
8,124.68,0.18,359.55,1.746e-09,121.8,14.6,-13.1,19.3,22.7,-3.7,2.245356e-09
9,124.58,0.18,359.55,1.773e-09,121.6,14.5,-13.2,19.3,24.6,-4.2,2.161287e-09
10,124.48,0.18,359.55,1.801e-09,121.5,14.4,-13.8,19.4,25.2,-5.0,2.204424e-09
11,124.38,0.18,359.55,1.83e-09,121.4,14.4,-15.2,19.4,27.1,-4.5,2.34423e-09
12,124.28,0.18,359.55,1.859e-09,121.3,14.3,-13.0,19.5,27.0,-4.7,2.403687e-09
13,124.18,0.18,359.55,1.888e-09,121.2,14.3,-10.8,19.6,31.5,-4.9,2.5167040000000002e-09
14,124.08,0.18,359.55,1.918e-09,121.0,14.2,-8.6,19.6,31.9,-5.6,2.698626e-09
15,123.98,0.18,359.55,1.948e-09,120.9,14.1,-8.0,19.7,33.7,-5.6,2.6785e-09
16,123.88,0.18,359.55,1.979e-09,120.8,14.1,-12.4,19.7,30.5,-5.6,2.537078e-09
17,123.78,0.18,359.55,2.01e-09,120.7,14.0,-9.1,19.8,29.3,-5.9,2.66325e-09
18,123.68,0.18,359.55,2.044e-09,120.5,13.9,-6.4,19.8,31.6,-6.2,2.438492e-09
19,123.58,0.18,359.55,2.078e-09,120.4,13.8,-8.2,19.8,30.7,-6.0,2.661918e-09
20,123.48,0.18,359.55,2.112e-09,120.3,13.7,-6.3,19.8,27.4,-5.9,2.6104320000000003e-09
21,123.38,0.18,359.55,2.148e-09,120.2,13.5,-7.2,19.8,28.8,-5.8,2.6398920000000003e-09
22,123.28,0.18,359.55,2.184e-09,120.0,13.4,-5.4,19.8,29.4,-5.1,2.596776e-09
23,123.18,0.18,359.55,2.22e-09,119.9,13.3,-5.6,19.8,29.8,-5.3,2.68176e-09
24,123.08,0.18,359.55,2.257e-09,119.8,13.2,-0.2,19.8,30.8,-5.3,2.762568e-09
25,122.98,0.18,359.55,2.295e-09,119.7,13.1,0.7,19.9,38.8,-5.1,2.820555e-09
26,122.88,0.18,359.55,2.333e-09,119.6,12.9,0.7,19.9,37.8,-4.7,2.937247e-09
27,122.78,0.18,359.55,2.372e-09,119.4,12.8,-0.2,19.9,36.6,-4.5,3.100204e-09
28,122.68,0.18,359.55,2.412e-09,119.3,12.7,-1.5,19.9,38.4,-3.7,3.234492e-09
29,122.58,0.18,359.55,2.452e-09,119.2,12.6,-2.8,19.9,40.6,-3.1,3.21212e-09
30,122.48,0.18,359.55,2.493e-09,119.1,12.5,-3.7,19.9,41.3,-3.7,3.2832809999999998e-09
31,122.38,0.18,359.55,2.535e-09,118.9,12.4,-5.6,19.9,42.1,-4.1,3.35634e-09
32,122.28,0.18,359.55,2.578e-09,118.8,12.2,-7.2,19.9,41.1,-5.1,3.3849139999999997e-09
33,122.18,0.18,359.55,2.621e-09,118.7,12.1,-7.4,19.9,42.2,-5.5,3.333912e-09
34,122.08,0.18,359.55,2.665e-09,118.6,12.0,-6.5,19.9,45.4,-5.7,3.2939400000000003e-09
35,121.98,0.18,359.55,2.709e-09,118.5,11.9,-7.6,19.9,44.1,-4.8,3.505446e-09
36,121.88,0.18,359.55,2.754e-09,118.3,11.8,-6.1,19.9,43.1,-5.2,3.409452e-09
37,121.78,0.18,359.55,2.801e-09,118.2,11.6,-2.6,19.9,46.6,-4.6,3.574076e-09
38,121.68,0.18,359.55,2.847e-09,118.1,11.5,-0.7,19.9,44.7,-4.6,3.561597e-09
39,121.58,0.18,359.55,2.895e-09,118.0,11.4,-0.6,19.9,48.6,-4.2,3.5232150000000002e-09
40,121.48,0.18,359.55,2.944e-09,117.8,11.3,2.9,19.9,48.6,-4.9,3.6917760000000002e-09
41,121.38,0.18,359.55,2.993e-09,117.7,11.2,2.7,19.9,47.1,-5.6,3.9417809999999995e-09
42,121.28,0.18,359.55,3.043e-09,117.6,11.1,2.1,19.9,44.8,-5.7,3.788535e-09
43,121.18,0.18,359.55,3.094e-09,117.5,10.9,1.8,20.0,41.8,-5.8,3.814902e-09
44,121.08,0.18,359.55,3.146e-09,117.4,10.8,3.5,20.0,43.3,-5.2,3.608462e-09
45,120.98,0.18,359.55,3.198e-09,117.2,10.7,3.6,20.0,40.9,-5.2,3.80562e-09
46,120.88,0.18,359.55,3.252e-09,117.1,10.6,4.6,20.0,39.4,-5.0,3.834108e-09
47,120.78,0.18,359.55,3.307e-09,117.0,10.5,7.0,20.0,40.0,-5.0,4.120522e-09
48,120.68,0.18,359.55,3.362e-09,116.9,10.4,7.5,20.0,39.8,-4.6,4.404220000000001e-09
49,120.58,0.18,359.55,3.418e-09,116.7,10.2,4.9,20.0,44.1,-4.2,4.470744e-09
50,120.48,0.18,359.55,3.476e-09,116.6,10.1,5.9,20.0,44.1,-4.8,4.48404e-09
51,120.38,0.18,359.55,3.534e-09,116.5,10.0,5.1,20.0,43.4,-4.6,4.760298e-09
52,120.28,0.18,359.55,3.593e-09,116.4,9.9,8.1,20.0,42.9,-4.8,4.8002480000000004e-09
53,120.18,0.18,359.55,3.653e-09,116.3,9.8,7.4,20.0,39.4,-5.5,5.0849759999999995e-09
54,120.08,0.18,359.55,3.714e-09,116.1,9.6,3.4,20.0,42.6,-5.1,5.611854e-09
55,119.98,0.18,359.55,3.777e-09,116.0,9.5,1.7,20.0,40.1,-5.0,5.2991309999999996e-09
56,119.88,0.18,359.55,3.84e-09,115.9,9.4,2.5,20.0,39.0,-4.4,5.260800000000001e-09
57,119.78,0.18,359.55,3.904e-09,115.8,9.3,1.8,20.0,37.2,-3.8,5.516352e-09
58,119.68,0.18,359.55,3.97e-09,115.6,9.2,0.3,20.0,38.9,-3.3,5.80414e-09
59,119.58,0.18,359.55,4.037e-09,115.5,9.1,-0.4,20.0,38.8,-3.8,6.116054999999999e-09
60,119.48,0.18,359.55,4.104e-09,115.4,8.9,-0.6,20.0,42.3,-3.8,6.07392e-09
61,119.38,0.18,359.55,4.173e-09,115.3,8.8,-0.7,20.1,42.4,-3.5,6.3679980000000005e-09
62,119.28,0.18,359.55,4.243e-09,115.2,8.7,1.9,20.1,42.9,-4.1,6.576650000000001e-09
63,119.18,0.18,359.55,4.314e-09,115.0,8.6,2.2,20.1,40.1,-3.7,6.604733999999999e-09
64,119.08,0.18,359.55,4.387e-09,114.9,8.5,3.4,20.1,38.0,-2.7,6.233927e-09
65,118.98,0.18,359.55,4.46e-09,114.8,8.3,5.0,20.1,39.4,-2.7,6.810419999999999e-09
66,118.88,0.18,359.55,4.535e-09,114.7,8.2,7.7,20.1,39.8,-1.9,6.816104999999999e-09
67,118.78,0.18,359.55,4.611e-09,114.5,8.1,7.9,20.1,40.6,-1.5,7.271546999999999e-09
68,118.68,0.18,359.56,4.688e-09,114.5,8.0,7.6,20.0,38.7,-1.6,7.599248e-09
69,118.58,0.18,359.56,4.766e-09,114.4,7.8,9.7,19.9,42.1,-0.4,7.4063640000000005e-09
70,118.48,0.18,359.56,4.845e-09,114.3,7.7,9.7,19.9,39.9,0.3,7.606649999999999e-09
71,118.38,0.18,359.56,4.926e-09,114.3,7.5,9.1,19.8,39.8,0.8,8.063862e-09
72,118.28,0.18,359.56,5.008e-09,114.2,7.4,3.5,19.7,35.5,0.7,8.368368e-09
73,118.18,0.18,359.56,5.091e-09,114.1,7.3,5.7,19.7,38.1,1.2,8.557971e-09
74,118.08,0.18,359.56,5.176e-09,114.1,7.1,7.4,19.6,36.4,1.4,7.8934e-09
75,117.98,0.18,359.56,5.262e-09,114.0,7.0,5.0,19.5,39.1,0.9,8.166624e-09
76,117.88,0.18,359.56,5.349e-09,114.0,6.8,4.6,19.4,38.4,0.0,7.857681e-09
77,117.78,0.18,359.56,5.438e-09,113.9,6.7,2.1,19.4,40.2,0.0,8.53766e-09
78,117.68,0.18,359.56,5.529e-09,113.8,6.5,4.3,19.3,43.2,0.0,8.260326e-09
79,117.58,0.18,359.56,5.621e-09,113.8,6.4,-0.7,19.2,42.2,-0.5,8.296596e-09
80,117.48,0.18,359.56,5.714e-09,113.7,6.3,1.0,19.2,42.4,-0.6,8.616712e-09
81,117.38,0.18,359.56,5.809e-09,113.6,6.1,4.2,19.1,39.3,-0.5,8.7135e-09
82,117.28,0.18,359.56,5.906e-09,113.6,6.0,0.2,19.0,38.4,-0.7,8.545982e-09
83,117.18,0.18,359.56,6.004e-09,113.5,5.8,-0.8,18.9,39.4,-1.0,8.081384000000001e-09
84,117.08,0.18,359.56,6.104e-09,113.4,5.7,2.6,18.9,35.3,-0.8,8.747031999999999e-09
85,116.98,0.18,359.56,6.206e-09,113.4,5.6,5.1,18.8,38.0,-0.4,8.986288e-09
86,116.88,0.18,359.56,6.309e-09,113.3,5.4,5.3,18.7,41.4,0.3,9.154358999999999e-09
