,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,124.86,0.71,359.07,1.693e-09,122.6,13.5,-14.2,19.7,19.4,0.1,1.47291e-09
1,123.86,0.71,359.07,1.98e-09,121.3,13.0,-18.7,20.5,10.3,0.5,1.97406e-09
2,122.86,0.71,359.07,2.336e-09,120.0,11.9,-11.3,20.7,17.8,-0.2,2.9083200000000006e-09
3,121.86,0.71,359.07,2.759e-09,118.7,10.8,-20.4,20.9,12.3,-1.3,3.1231879999999996e-09
4,120.86,0.71,359.07,3.258e-09,117.5,9.7,-25.6,21.1,15.9,-0.8,4.4048160000000005e-09
5,119.86,0.71,359.07,3.849e-09,116.2,8.6,-15.3,21.3,7.6,0.3,5.5387110000000005e-09
6,118.86,0.71,359.07,4.548e-09,114.9,7.5,-18.1,21.5,12.0,-0.8,6.1989239999999996e-09
7,117.86,0.71,359.07,5.364e-09,114.2,6.1,-16.0,20.9,17.3,0.9,7.80462e-09
8,116.86,0.71,359.07,6.326e-09,113.5,4.7,-9.1,20.3,27.4,1.3,8.521122e-09
9,115.86,0.71,359.08,7.461e-09,112.8,3.3,0.0,19.6,14.1,1.7,8.729369999999999e-09
10,114.86,0.71,359.08,8.801e-09,112.1,1.9,-6.7,19.0,15.9,-0.6,1.0129951000000001e-08
11,113.86,0.71,359.08,1.038e-08,111.4,0.6,1.2,18.4,16.2,-0.1,8.127539999999999e-09
12,112.86,0.71,359.08,1.221e-08,111.5,-0.4,1.7,17.1,24.7,3.0,1.0036619999999999e-08
13,111.86,0.71,359.08,1.436e-08,111.6,-1.3,-7.8,15.8,22.7,2.4,1.157416e-08
14,110.86,0.71,359.08,1.688e-08,111.7,-2.3,-8.9,14.5,20.9,1.4,1.3622160000000001e-08
15,109.86,0.71,359.08,1.984e-08,111.8,-3.2,-12.0,13.2,34.2,0.2,1.630848e-08
16,108.86,0.71,359.08,2.333e-08,111.9,-4.1,-6.0,11.9,22.9,-1.2,1.7707470000000002e-08
17,107.86,0.71,359.08,2.723e-08,112.6,-4.4,1.0,10.5,26.2,-0.7,1.971452e-08
18,106.86,0.71,359.08,3.175e-08,113.3,-4.7,18.2,9.1,24.9,-0.9,2.1685250000000002e-08
19,105.86,0.71,359.08,3.702e-08,114.0,-4.9,18.8,7.7,22.3,-1.0,3.0319380000000004e-08
20,104.86,0.71,359.08,4.317e-08,114.7,-5.1,14.8,6.3,9.2,-0.1,3.272286e-08
21,103.86,0.71,359.08,5.034e-08,115.5,-5.3,6.9,4.9,0.6,0.8,3.956724e-08
22,102.86,0.71,359.08,5.842e-08,116.3,-5.2,8.5,3.7,1.9,-0.3,3.943350000000001e-08
23,101.86,0.71,359.08,6.775e-08,117.2,-5.0,-2.5,2.5,-2.0,-1.7,3.6585e-08
24,100.86,0.71,359.08,7.858e-08,118.1,-4.8,-2.2,1.3,-1.3,-2.8,3.1353420000000004e-08
25,99.86,0.71,359.08,9.115e-08,119.0,-4.6,-4.2,0.0,-3.0,-1.4,3.17202e-08
26,98.86,0.71,359.08,1.057e-07,119.9,-4.5,-0.6,-1.2,5.9,-0.5,4.57681e-08
27,97.86,0.71,359.08,1.221e-07,120.6,-4.1,6.2,-2.1,8.3,1.1,6.45909e-08
28,96.86,0.71,359.08,1.409e-07,121.4,-3.8,-2.5,-3.0,12.8,1.6,6.6223e-08
29,95.86,0.71,359.08,1.627e-07,122.1,-3.4,-3.0,-3.9,-1.8,1.2,7.22388e-08
30,94.86,0.71,359.08,1.878e-07,122.9,-3.1,-5.0,-4.8,7.7,0.0,1.2939419999999998e-07
31,93.86,0.71,359.08,2.168e-07,123.6,-2.7,3.7,-5.7,9.8,0.6,1.26828e-07
32,92.86,0.71,359.08,2.558e-07,124.2,-2.4,0.4,-6.2,13.7,-0.8,1.34295e-07
33,91.86,0.71,359.08,3.026e-07,124.8,-2.1,0.9,-6.6,11.0,-0.7,2.0153160000000004e-07
34,90.86,0.71,359.08,3.579e-07,125.5,-1.8,6.0,-7.0,12.1,0.4,2.533932e-07
35,89.86,0.71,359.08,4.234e-07,126.1,-1.5,5.6,-7.4,6.1,0.5,3.882578e-07
36,88.86,0.71,359.08,5.008e-07,126.7,-1.1,11.5,-7.8,3.1,-0.1,4.4971840000000005e-07
37,87.86,0.71,359.08,6.369e-07,127.5,-1.1,19.2,-7.7,-5.8,-1.0,5.802159e-07
38,86.86,0.71,359.08,8.159e-07,128.4,-1.1,15.0,-7.6,-9.3,0.7,7.261510000000001e-07
39,85.86,0.71,359.08,1.045e-06,129.3,-1.0,11.8,-7.5,-16.7,-0.2,9.614e-07
40,84.86,0.71,359.08,1.339e-06,130.2,-1.0,19.7,-7.4,-18.6,0.2,1.434069e-06
41,83.86,0.71,359.08,1.716e-06,131.1,-1.0,17.0,-7.3,-19.4,-0.9,1.6628039999999999e-06
42,82.86,0.71,359.08,1.933e-06,129.8,2.2,12.1,-4.1,-5.7,-0.5,1.9001389999999998e-06
43,81.86,0.71,359.08,2.15e-06,128.4,5.8,14.3,-0.5,-6.3,-1.2,1.9952000000000004e-06
44,80.86,0.71,359.08,2.393e-06,127.0,9.3,17.6,3.0,-1.0,-1.4,2.103447e-06
45,79.86,0.71,359.08,2.663e-06,125.5,12.8,25.1,6.5,4.6,-0.3,2.306158e-06
46,78.86,0.71,359.08,2.964e-06,124.1,16.3,18.9,10.1,6.6,1.5,2.72688e-06
47,77.86,0.71,359.08,3.3e-06,122.6,19.8,26.1,13.6,11.2,0.9,2.9535e-06
48,76.86,0.71,359.08,3.674e-06,121.2,23.4,33.1,17.2,10.5,1.3,3.335992e-06
49,75.86,0.71,359.08,4.092e-06,119.7,26.9,37.9,20.7,9.2,0.5,3.490476e-06
50,74.86,0.71,359.08,5.037e-06,118.6,29.2,37.8,23.3,15.7,1.1,4.13034e-06
51,73.86,0.71,359.08,5.926e-06,119.2,23.8,29.7,19.9,18.6,0.1,4.989692e-06
