,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,124.58,-0.0,359.17,1.775e-09,121.8,14.2,-3.4,19.3,35.9,0.5,2.12645e-09
1,123.58,-0.0,359.17,2.08e-09,120.6,13.5,-6.5,19.9,35.4,-0.1,2.3088e-09
2,122.58,-0.0,359.17,2.456e-09,119.3,12.4,-14.1,20.0,26.0,0.2,2.839136e-09
3,121.58,-0.0,359.17,2.9e-09,118.0,11.3,-21.5,20.1,19.5,1.2,3.836699999999999e-09
4,120.58,-0.0,359.17,3.426e-09,116.8,10.1,-20.6,20.2,15.1,-1.9,3.56304e-09
5,119.58,-0.0,359.17,4.046e-09,115.5,9.0,-22.4,20.3,4.6,-1.5,4.503198e-09
6,118.58,-0.0,359.17,4.779e-09,114.4,7.8,-18.6,20.3,5.5,-1.6,5.471955e-09
7,117.58,-0.0,359.17,5.639e-09,113.7,6.4,-6.9,19.6,20.0,0.8,6.129593e-09
8,116.58,-0.0,359.17,6.654e-09,113.0,5.0,-5.4,19.0,19.5,-0.1,7.013316000000001e-09
9,115.58,-0.0,359.17,7.853e-09,112.4,3.5,-5.6,18.3,20.9,0.9,9.659189999999998e-09
10,114.58,-0.0,359.17,9.268e-09,111.7,2.1,-8.2,17.6,7.3,3.4,8.8046e-09
11,113.58,-0.0,359.17,1.093e-08,111.2,0.8,-5.9,16.9,14.0,3.4,1.0875349999999999e-08
12,112.58,-0.0,359.17,1.285e-08,111.3,-0.1,-10.0,15.6,20.5,3.6,1.1025299999999999e-08
13,111.58,-0.0,359.17,1.51e-08,111.5,-1.1,-6.5,14.4,17.5,4.1,1.6806299999999998e-08
14,110.58,-0.0,359.17,1.775e-08,111.6,-2.0,-5.6,13.2,20.5,3.8,1.712875e-08
15,109.58,-0.0,359.17,2.087e-08,111.8,-3.0,-11.7,11.9,12.2,4.0,2.5774450000000004e-08
16,108.58,-0.0,359.17,2.449e-08,112.0,-3.8,-11.6,10.7,8.6,4.5,2.657165e-08
17,107.58,-0.0,359.17,2.855e-08,112.8,-4.1,-9.2,9.4,7.4,2.7,2.835015e-08
18,106.58,-0.0,359.17,3.328e-08,113.5,-4.3,1.6,8.1,15.6,2.4,2.635776e-08
19,105.58,-0.0,359.17,3.88e-08,114.3,-4.6,-4.7,6.8,5.6,3.5,2.9177599999999997e-08
20,104.58,-0.0,359.17,4.524e-08,115.0,-4.8,-0.7,5.5,10.7,3.6,3.5061e-08
21,103.58,-0.0,359.17,5.269e-08,115.8,-5.0,0.8,4.3,7.4,0.9,4.5102639999999995e-08
22,102.58,-0.0,359.17,6.108e-08,116.7,-4.8,-8.7,3.2,8.0,1.0,6.126324e-08
23,101.58,-0.0,359.17,7.081e-08,117.6,-4.7,-11.5,2.1,1.6,0.3,6.401224e-08
24,100.58,-0.0,359.17,8.21e-08,118.5,-4.5,-4.5,1.0,0.6,-0.1,7.20838e-08
25,99.58,-0.0,359.17,9.519e-08,119.5,-4.3,-3.6,-0.1,-3.2,0.2,8.205378e-08
26,98.58,-0.0,359.17,1.103e-07,120.3,-4.2,-2.0,-1.2,-6.5,-1.5,9.44168e-08
27,97.58,-0.0,359.17,1.272e-07,121.1,-3.8,-7.6,-2.0,-8.3,-0.4,1.174056e-07
28,96.58,-0.0,359.17,1.468e-07,121.8,-3.5,-2.4,-2.8,-4.8,-0.1,1.7249e-07
29,95.58,-0.0,359.17,1.693e-07,122.6,-3.1,-9.0,-3.7,-11.1,0.6,2.1314869999999997e-07
30,94.58,-0.0,359.17,1.954e-07,123.3,-2.8,-4.3,-4.5,-12.9,-0.4,2.534338e-07
