,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,124.97,0.84,0.94,1.661e-09,122.3,14.3,28.8,19.5,20.8,1.3,1.026498e-09
1,123.97,0.84,0.94,1.943e-09,121.1,13.7,12.2,20.1,14.1,1.2,8.918370000000001e-10
2,122.97,0.84,0.94,2.288e-09,119.9,12.6,20.8,20.3,13.0,0.1,1.645072e-09
3,121.97,0.84,0.94,2.7e-09,118.7,11.4,15.7,20.3,0.5,-0.3,1.7604000000000002e-09
4,120.97,0.84,0.94,3.188e-09,117.5,10.2,13.1,20.4,5.0,-1.3,2.3113e-09
5,119.97,0.84,0.94,3.763e-09,116.3,9.0,9.5,20.5,10.4,-1.1,4.037699e-09
6,118.97,0.84,0.94,4.443e-09,115.1,7.8,15.8,20.5,-4.7,-1.2,5.553749999999999e-09
7,117.97,0.84,0.94,5.238e-09,114.3,6.5,23.8,19.9,-3.8,1.4,5.662278e-09
8,116.97,0.84,0.94,6.174e-09,113.7,5.1,6.4,19.2,3.1,1.2,7.50141e-09
9,115.97,0.84,0.94,7.277e-09,113.0,3.7,-3.7,18.4,12.1,2.5,1.0544373000000001e-08
10,114.97,0.84,0.94,8.579e-09,112.4,2.3,-16.4,17.6,10.7,0.6,1.2722657e-08
11,113.97,0.84,0.94,1.011e-08,111.7,0.9,-17.6,16.9,19.2,0.9,1.342608e-08
12,112.97,0.84,0.94,1.189e-08,111.7,-0.1,-14.5,15.6,18.8,-1.6,1.642009e-08
13,111.97,0.84,0.94,1.398e-08,111.8,-1.0,-12.5,14.3,8.8,-1.8,1.350468e-08
14,110.97,0.84,0.94,1.642e-08,112.0,-1.8,-19.5,12.9,2.5,-0.4,2.022944e-08
15,109.97,0.84,0.94,1.93e-08,112.1,-2.7,-16.8,11.5,-1.0,0.9,2.71744e-08
16,108.97,0.84,0.94,2.268e-08,112.3,-3.6,-5.0,10.2,2.5,1.4,3.14118e-08
17,107.97,0.84,0.94,2.648e-08,112.8,-3.9,-0.3,8.8,-7.4,-0.2,3.219968e-08
18,106.97,0.84,0.94,3.086e-08,113.6,-4.0,-6.2,7.4,-4.8,-0.5,3.9778539999999994e-08
19,105.97,0.84,0.95,3.598e-08,114.3,-4.2,1.5,5.9,-3.1,1.4,4.5190880000000006e-08
20,104.97,0.84,0.95,4.194e-08,115.0,-4.4,3.2,4.5,-3.2,2.6,4.7895479999999994e-08
21,103.97,0.84,0.95,4.889e-08,115.7,-4.5,3.1,3.1,-7.8,2.7,5.984136000000001e-08
22,102.97,0.84,0.95,5.676e-08,116.5,-4.4,1.5,1.9,4.8,2.9,6.561456e-08
23,101.97,0.84,0.95,6.583e-08,117.4,-4.1,0.9,0.8,3.5,4.1,6.734408999999999e-08
24,100.97,0.84,0.95,7.635e-08,118.2,-3.9,2.0,-0.4,-1.7,2.5,7.00893e-08
25,99.97,0.84,0.95,8.857e-08,119.1,-3.7,-4.0,-1.6,-5.2,2.1,6.37704e-08
26,98.97,0.84,0.95,1.027e-07,119.9,-3.5,-4.5,-2.7,-8.5,2.4,9.22246e-08
27,97.97,0.84,0.95,1.187e-07,120.6,-3.1,-1.3,-3.6,-3.2,2.8,8.60575e-08
28,96.97,0.84,0.95,1.371e-07,121.3,-2.8,3.6,-4.4,-5.0,3.3,9.52845e-08
29,95.97,0.84,0.95,1.583e-07,122.0,-2.4,12.2,-5.2,-2.2,2.9,1.1492580000000001e-07
30,94.97,0.84,0.95,1.828e-07,122.7,-2.0,24.2,-6.0,-4.2,2.2,1.40756e-07
31,93.97,0.84,0.95,2.111e-07,123.4,-1.7,11.9,-6.9,-6.8,1.7,1.880901e-07
32,92.97,0.84,0.95,2.487e-07,124.0,-1.3,2.3,-7.2,-6.2,2.3,2.322858e-07
33,91.97,0.84,0.95,2.944e-07,124.6,-1.0,1.6,-7.5,-7.3,1.3,3.388544e-07
34,90.97,0.84,0.95,3.485e-07,125.1,-0.7,-5.7,-7.8,-9.2,-0.2,4.71869e-07
35,89.97,0.84,0.95,4.125e-07,125.7,-0.4,-10.9,-8.1,-5.0,-1.0,4.97475e-07
36,88.97,0.84,0.95,4.882e-07,126.3,-0.1,-16.1,-8.3,-9.6,-1.8,6.1025e-07
37,87.97,0.84,0.95,6.16e-07,127.1,-0.1,-14.1,-8.3,-12.5,-2.3,8.19896e-07
38,86.97,0.84,0.95,7.894e-07,128.0,-0.1,-13.4,-8.2,-5.7,-2.9,1.0056956e-06
39,85.97,0.84,0.95,1.012e-06,128.9,-0.1,-3.7,-8.1,-2.9,-1.0,1.185052e-06
40,84.97,0.84,0.95,1.297e-06,129.7,-0.1,-3.2,-8.0,-4.3,-1.3,1.5706670000000002e-06
41,83.97,0.84,0.95,1.662e-06,130.6,-0.1,-5.9,-7.8,-4.5,-0.2,1.801608e-06
42,82.97,0.84,0.95,1.903e-06,129.6,2.8,-5.6,-4.9,-0.5,-0.3,2.011471e-06
43,81.97,0.84,0.95,2.12e-06,128.2,6.4,2.9,-1.2,1.2,0.1,2.544e-06
44,80.97,0.84,0.95,2.362e-06,126.7,9.9,7.7,2.5,-3.5,-0.7,3.089496e-06
45,79.97,0.84,0.95,2.632e-06,125.3,13.5,15.3,6.2,-4.0,-1.1,3.247888e-06
