,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,124.07,-0.79,359.36,1.932e-09,120.6,15.1,1.9,18.8,34.2,-3.6,2.9269799999999998e-09
1,123.97,-0.79,359.36,1.962e-09,120.5,15.0,3.9,18.9,34.0,-3.3,2.919456e-09
2,123.87,-0.79,359.36,1.994e-09,120.4,14.9,4.2,18.9,31.8,-4.0,2.969066e-09
3,123.77,-0.79,359.36,2.025e-09,120.3,14.9,3.2,19.0,31.0,-3.6,3.13065e-09
4,123.67,-0.79,359.36,2.059e-09,120.1,14.7,0.5,19.0,28.8,-3.5,3.113208e-09
5,123.57,-0.79,359.36,2.093e-09,120.0,14.6,-1.9,19.0,29.9,-2.4,3.3215910000000002e-09
6,123.47,-0.79,359.36,2.128e-09,119.9,14.5,-3.3,19.0,31.8,-2.0,3.274992e-09
7,123.37,-0.79,359.36,2.164e-09,119.8,14.4,-6.4,19.0,31.4,-1.6,3.319576e-09
8,123.27,-0.79,359.36,2.2e-09,119.7,14.3,-10.1,19.0,34.0,-1.6,3.3021999999999996e-09
9,123.17,-0.79,359.36,2.237e-09,119.5,14.1,-10.4,19.0,30.4,-2.0,3.17654e-09
10,123.07,-0.79,359.36,2.274e-09,119.4,14.0,-10.7,19.0,32.8,-2.2,3.3382319999999998e-09
11,122.97,-0.79,359.36,2.312e-09,119.3,13.9,-10.2,19.0,33.2,-2.5,3.070336e-09
12,122.87,-0.79,359.36,2.351e-09,119.2,13.8,-4.2,19.0,31.2,-2.5,3.159744e-09
13,122.77,-0.79,359.36,2.39e-09,119.0,13.7,-3.0,19.0,30.9,-2.4,3.3053699999999997e-09
14,122.67,-0.79,359.36,2.43e-09,118.9,13.5,-7.2,19.0,29.8,-3.2,3.6109800000000003e-09
15,122.57,-0.79,359.36,2.471e-09,118.8,13.4,-7.7,19.0,27.4,-3.3,3.951129e-09
16,122.47,-0.79,359.36,2.512e-09,118.7,13.3,-6.6,19.0,28.0,-3.1,4.0794880000000005e-09
17,122.37,-0.79,359.36,2.554e-09,118.5,13.2,-4.3,19.0,25.0,-2.6,4.083846e-09
18,122.27,-0.79,359.36,2.597e-09,118.4,13.1,-2.7,19.0,20.8,-2.8,4.173379e-09
19,122.17,-0.79,359.36,2.641e-09,118.3,13.0,-2.6,19.0,21.8,-2.7,4.325957999999999e-09
20,122.07,-0.79,359.36,2.685e-09,118.2,12.8,-2.9,19.0,22.8,-2.6,4.40877e-09
21,121.97,-0.79,359.36,2.73e-09,118.0,12.7,-0.1,19.0,24.4,-2.0,4.57821e-09
22,121.87,-0.79,359.36,2.775e-09,117.9,12.6,4.4,19.0,26.8,-2.4,4.731375e-09
23,121.77,-0.79,359.36,2.822e-09,117.8,12.5,7.3,19.0,29.4,-2.6,4.492624e-09
24,121.67,-0.79,359.36,2.869e-09,117.7,12.4,9.2,19.0,29.0,-2.8,4.501461e-09
25,121.57,-0.79,359.36,2.917e-09,117.6,12.2,8.9,19.0,27.6,-3.4,4.238401e-09
26,121.47,-0.79,359.36,2.966e-09,117.4,12.1,14.6,19.0,28.0,-3.3,4.28587e-09
27,121.37,-0.79,359.36,3.016e-09,117.3,12.0,13.9,19.0,28.9,-3.2,3.960008e-09
28,121.27,-0.79,359.36,3.066e-09,117.2,11.9,14.4,19.0,32.7,-3.3,3.8416979999999994e-09
29,121.17,-0.79,359.36,3.117e-09,117.1,11.8,11.1,19.0,35.6,-2.7,3.880665e-09
30,121.07,-0.79,359.36,3.17e-09,116.9,11.6,8.6,19.0,34.4,-2.3,3.68354e-09
31,120.97,-0.79,359.36,3.223e-09,116.8,11.5,4.2,19.0,36.6,-2.1,3.567861e-09
32,120.87,-0.79,359.36,3.277e-09,116.7,11.4,2.8,19.0,37.3,-2.7,3.6112540000000004e-09
33,120.77,-0.79,359.36,3.332e-09,116.6,11.3,2.2,19.0,37.0,-2.6,3.6985200000000006e-09
34,120.67,-0.79,359.36,3.388e-09,116.4,11.2,-3.6,19.0,38.2,-1.9,3.808112e-09
35,120.57,-0.79,359.36,3.444e-09,116.3,11.1,-1.7,19.0,40.1,-1.0,3.791844e-09
36,120.47,-0.79,359.36,3.502e-09,116.2,10.9,-4.5,19.0,35.7,-1.3,3.6806019999999997e-09
37,120.37,-0.79,359.36,3.561e-09,116.1,10.8,-2.6,19.0,34.7,-0.9,3.895734e-09
38,120.27,-0.79,359.36,3.62e-09,115.9,10.7,-1.1,19.0,32.2,-1.1,3.84806e-09
39,120.17,-0.79,359.36,3.681e-09,115.8,10.6,-0.0,19.0,34.2,-1.1,4.115358000000001e-09
40,120.07,-0.79,359.36,3.743e-09,115.7,10.5,-1.9,19.0,32.3,-1.2,4.248305e-09
41,119.97,-0.79,359.36,3.806e-09,115.6,10.3,-1.6,19.0,32.9,-1.1,4.597648e-09
42,119.87,-0.79,359.36,3.869e-09,115.5,10.2,-0.9,19.0,33.3,-0.2,4.700835e-09
43,119.77,-0.79,359.36,3.934e-09,115.3,10.1,-3.5,19.0,32.9,-0.5,4.7129319999999996e-09
44,119.67,-0.79,359.36,4e-09,115.2,10.0,-1.7,19.0,32.4,-0.1,5.132e-09
45,119.57,-0.79,359.36,4.067e-09,115.1,9.9,-1.5,19.0,30.8,0.7,4.860065e-09
46,119.47,-0.79,359.36,4.136e-09,115.0,9.7,-7.2,19.0,33.3,0.1,5.298215999999999e-09
47,119.37,-0.79,359.36,4.205e-09,114.8,9.6,-3.4,19.0,37.3,-1.1,5.09646e-09
48,119.27,-0.79,359.36,4.276e-09,114.7,9.5,-1.1,19.0,37.1,-0.5,4.754912e-09
49,119.17,-0.79,359.36,4.347e-09,114.6,9.4,-1.5,19.0,38.1,-0.1,4.9208039999999994e-09
50,119.07,-0.79,359.36,4.42e-09,114.5,9.3,-1.4,19.0,38.4,-1.0,5.17582e-09
51,118.97,-0.79,359.36,4.495e-09,114.3,9.1,-0.5,19.0,37.8,-1.3,5.29511e-09
52,118.87,-0.79,359.36,4.57e-09,114.2,9.0,1.0,19.0,40.2,-1.8,5.5388399999999995e-09
53,118.77,-0.79,359.36,4.647e-09,114.1,8.9,1.2,19.0,38.8,-1.3,5.7901620000000004e-09
54,118.67,-0.79,359.36,4.724e-09,114.0,8.8,4.8,19.0,37.4,-1.6,5.843588e-09
55,118.57,-0.79,359.36,4.803e-09,114.0,8.6,4.0,18.9,37.6,-1.7,5.8932810000000005e-09
56,118.47,-0.79,359.36,4.884e-09,113.9,8.5,5.7,18.8,36.2,-1.8,5.470080000000001e-09
57,118.37,-0.79,359.36,4.965e-09,113.8,8.3,3.7,18.7,34.7,-2.3,5.188425e-09
58,118.27,-0.79,359.36,5.048e-09,113.8,8.2,2.6,18.7,34.9,-2.6,4.9975199999999995e-09
59,118.17,-0.79,359.36,5.133e-09,113.7,8.0,6.6,18.6,33.3,-2.8,5.292123e-09
60,118.07,-0.79,359.36,5.219e-09,113.7,7.9,4.3,18.5,36.6,-2.5,5.0780870000000005e-09
61,117.97,-0.79,359.36,5.306e-09,113.6,7.7,7.9,18.4,37.0,-2.5,5.295388e-09
62,117.87,-0.79,359.36,5.395e-09,113.5,7.6,7.2,18.4,38.2,-3.0,5.62159e-09
63,117.77,-0.79,359.36,5.485e-09,113.5,7.5,9.6,18.3,40.7,-3.2,6.187079999999999e-09
64,117.67,-0.79,359.36,5.577e-09,113.4,7.3,7.8,18.2,41.7,-2.6,6.407973e-09
65,117.57,-0.79,359.36,5.67e-09,113.3,7.2,9.1,18.2,40.9,-1.9,6.7246199999999995e-09
66,117.47,-0.79,359.37,5.765e-09,113.3,7.0,8.7,18.1,43.1,-2.0,7.2408399999999996e-09
67,117.37,-0.79,359.37,5.861e-09,113.2,6.9,11.0,18.0,37.9,-2.3,7.707215e-09
68,117.27,-0.79,359.37,5.959e-09,113.2,6.7,13.1,17.9,37.8,-1.9,7.657315e-09
69,117.17,-0.79,359.37,6.059e-09,113.1,6.6,15.2,17.9,38.6,-1.7,8.191768e-09
70,117.07,-0.79,359.37,6.16e-09,113.0,6.4,14.1,17.8,38.3,-0.9,7.90328e-09
71,116.97,-0.79,359.37,6.264e-09,113.0,6.3,10.4,17.7,38.1,-0.2,7.654608e-09
72,116.87,-0.79,359.37,6.368e-09,112.9,6.2,9.1,17.6,40.0,-0.4,7.953632000000001e-09
73,116.77,-0.79,359.37,6.475e-09,112.8,6.0,9.2,17.6,38.1,0.2,8.177925e-09
74,116.67,-0.79,359.37,6.583e-09,112.8,5.9,7.1,17.5,39.0,0.5,8.22875e-09
75,116.57,-0.79,359.37,6.694e-09,112.7,5.7,7.8,17.4,35.0,0.5,8.253702000000002e-09
76,116.47,-0.79,359.37,6.806e-09,112.7,5.6,11.7,17.4,37.1,0.8,7.718004e-09
77,116.37,-0.79,359.37,6.92e-09,112.6,5.4,11.1,17.3,41.2,1.0,7.639680000000001e-09
78,116.27,-0.79,359.37,7.035e-09,112.5,5.3,8.2,17.2,43.6,0.3,7.851060000000001e-09
79,116.17,-0.79,359.37,7.153e-09,112.5,5.1,8.3,17.1,45.2,0.4,7.431966999999999e-09
80,116.07,-0.79,359.37,7.273e-09,112.4,5.0,5.1,17.1,46.7,0.5,7.593012000000001e-09
81,115.97,-0.79,359.37,7.395e-09,112.4,4.8,7.8,17.0,46.7,1.0,7.43937e-09
82,115.87,-0.79,359.37,7.519e-09,112.3,4.7,5.4,16.9,45.3,1.0,7.368619999999999e-09
83,115.77,-0.79,359.37,7.644e-09,112.2,4.6,5.3,16.8,43.3,0.9,7.193004e-09
84,115.67,-0.79,359.37,7.772e-09,112.2,4.4,8.6,16.8,42.3,1.3,6.95594e-09
85,115.57,-0.79,359.37,7.903e-09,112.1,4.3,10.8,16.7,43.8,0.9,7.752843e-09
86,115.47,-0.79,359.37,8.035e-09,112.0,4.1,9.0,16.6,45.8,1.0,8.01893e-09
87,115.37,-0.79,359.37,8.17e-09,112.0,4.0,10.8,16.6,43.2,2.2,7.66346e-09
88,115.27,-0.79,359.37,8.307e-09,111.9,3.8,14.3,16.5,42.5,1.9,8.14086e-09
89,115.17,-0.79,359.37,8.446e-09,111.9,3.7,17.5,16.4,39.9,1.9,8.260188e-09
90,115.07,-0.79,359.37,8.587e-09,111.8,3.5,16.7,16.3,38.0,2.3,8.200584999999999e-09
