,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,125.12,-0.2,0.73,1.633e-09,122.2,15.1,11.7,18.7,17.4,4.1,2.078809e-09
1,125.02,-0.2,0.73,1.659e-09,122.1,15.0,11.6,18.8,16.3,4.1,2.025639e-09
2,124.92,-0.2,0.73,1.685e-09,122.0,15.0,10.0,18.9,15.3,4.3,2.030425e-09
3,124.82,-0.2,0.73,1.712e-09,121.9,14.9,5.3,18.9,15.1,4.2,2.086928e-09
4,124.72,-0.2,0.73,1.739e-09,121.7,14.8,7.2,19.0,18.8,3.2,2.090278e-09
5,124.62,-0.2,0.73,1.767e-09,121.6,14.8,6.4,19.0,14.2,3.5,2.058555e-09
6,124.52,-0.2,0.73,1.794e-09,121.5,14.7,3.6,19.1,15.2,3.3,2.133066e-09
7,124.42,-0.2,0.73,1.823e-09,121.4,14.6,4.5,19.2,12.2,3.1,2.244113e-09
8,124.32,-0.2,0.73,1.852e-09,121.2,14.6,4.4,19.2,12.2,3.1,2.365004e-09
9,124.22,-0.2,0.73,1.881e-09,121.1,14.5,3.1,19.3,10.3,2.4,2.379465e-09
10,124.12,-0.2,0.73,1.911e-09,121.0,14.5,0.6,19.3,9.5,2.9,2.2760010000000003e-09
11,124.02,-0.2,0.73,1.941e-09,120.9,14.4,-2.2,19.4,8.9,2.8,2.34861e-09
12,123.92,-0.2,0.73,1.972e-09,120.7,14.3,-2.9,19.5,6.3,3.4,2.403868e-09
13,123.82,-0.2,0.73,2.003e-09,120.6,14.3,-8.5,19.5,6.7,3.8,2.5097589999999995e-09
14,123.72,-0.2,0.73,2.035e-09,120.5,14.2,-8.8,19.5,10.0,3.0,2.40944e-09
15,123.62,-0.2,0.73,2.069e-09,120.4,14.1,-8.2,19.6,12.3,2.8,2.4186610000000003e-09
16,123.52,-0.2,0.73,2.104e-09,120.2,13.9,-7.4,19.6,12.7,3.4,2.333336e-09
17,123.42,-0.2,0.73,2.139e-09,120.1,13.8,-5.8,19.6,11.3,3.7,2.333649e-09
18,123.32,-0.2,0.73,2.175e-09,120.0,13.7,-4.5,19.6,11.0,3.5,2.072775e-09
19,123.22,-0.2,0.73,2.211e-09,119.9,13.6,-4.6,19.6,12.3,3.6,2.2242659999999998e-09
20,123.12,-0.2,0.73,2.248e-09,119.7,13.5,-9.3,19.6,13.2,2.8,2.3469120000000003e-09
21,123.02,-0.2,0.73,2.286e-09,119.6,13.4,-9.9,19.6,14.3,2.9,2.5237440000000003e-09
22,122.92,-0.2,0.73,2.324e-09,119.5,13.2,-9.4,19.6,14.5,2.5,2.6725999999999996e-09
23,122.82,-0.2,0.73,2.363e-09,119.4,13.1,-7.4,19.6,16.0,2.9,2.672553e-09
24,122.72,-0.2,0.73,2.403e-09,119.2,13.0,-6.7,19.6,14.4,3.3,2.693763e-09
25,122.62,-0.2,0.73,2.443e-09,119.1,12.9,-8.1,19.6,14.1,2.8,2.987789e-09
