,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,124.34,0.81,0.94,1.835e-09,121.6,13.7,-2.8,20.0,27.7,-1.1,1.9139049999999997e-09
1,123.34,0.81,0.94,2.154e-09,120.4,12.9,-1.2,20.4,29.4,-1.5,2.085072e-09
2,122.34,0.81,0.94,2.543e-09,119.2,11.7,2.9,20.5,29.0,-1.6,2.502312e-09
3,121.34,0.81,0.94,3.002e-09,117.9,10.6,15.3,20.6,26.8,-0.9,3.7194780000000007e-09
4,120.34,0.81,0.94,3.545e-09,116.7,9.4,21.3,20.7,25.0,-1.1,3.60881e-09
5,119.34,0.81,0.94,4.186e-09,115.5,8.2,19.3,20.8,35.3,-2.4,4.62553e-09
6,118.34,0.81,0.94,4.94e-09,114.5,6.9,13.8,20.5,29.6,-3.3,5.8687199999999996e-09
7,117.34,0.81,0.94,5.822e-09,113.9,5.5,16.4,19.8,30.2,-4.3,6.415844e-09
8,116.34,0.81,0.94,6.864e-09,113.2,4.2,18.2,19.1,30.3,-3.7,6.815952e-09
9,115.34,0.81,0.94,8.093e-09,112.5,2.8,10.8,18.4,22.1,-3.0,8.82137e-09
10,114.34,0.81,0.94,9.543e-09,111.9,1.4,7.9,17.6,21.9,-3.9,9.323511e-09
11,113.34,0.81,0.94,1.124e-08,111.6,0.2,-1.0,16.6,20.3,-2.9,1.136364e-08
12,112.34,0.81,0.94,1.321e-08,111.7,-0.7,-13.3,15.3,9.0,-2.1,1.25495e-08
13,111.34,0.81,0.94,1.552e-08,111.8,-1.6,-12.6,13.9,2.5,-1.6,1.69168e-08
14,110.34,0.81,0.94,1.824e-08,112.0,-2.5,-12.5,12.6,-4.8,0.5,2.278176e-08
15,109.34,0.81,0.94,2.144e-08,112.1,-3.4,-24.3,11.2,3.3,1.8,2.22976e-08
16,108.34,0.81,0.94,2.511e-08,112.5,-4.0,-26.1,9.9,1.2,1.5,2.448225e-08
17,107.34,0.81,0.94,2.927e-08,113.2,-4.1,-24.3,8.5,-8.4,0.3,2.804066e-08
18,106.34,0.81,0.94,3.412e-08,113.9,-4.3,-19.6,7.0,-4.1,0.1,3.282344e-08
19,105.34,0.81,0.94,3.978e-08,114.6,-4.5,-19.3,5.6,1.0,1.4,3.277872e-08
20,104.34,0.81,0.94,4.638e-08,115.3,-4.7,-23.7,4.2,0.5,1.7,3.218772e-08
21,103.34,0.81,0.94,5.395e-08,116.1,-4.7,-19.4,2.9,6.8,3.8,4.342975e-08
22,102.34,0.81,0.94,6.257e-08,117.0,-4.5,-15.3,1.7,5.0,2.8,5.111969e-08
23,101.34,0.81,0.94,7.257e-08,117.8,-4.3,-10.5,0.6,5.1,1.7,5.979768e-08
24,100.34,0.81,0.94,8.418e-08,118.7,-4.1,-6.4,-0.6,17.9,3.2,7.19739e-08
25,99.34,0.81,0.94,9.765e-08,119.6,-3.8,5.3,-1.8,7.2,2.4,9.013095e-08
26,98.34,0.81,0.94,1.13e-07,120.4,-3.6,3.8,-2.8,8.1,1.2,1.15486e-07
27,97.34,0.81,0.94,1.305e-07,121.1,-3.2,2.6,-3.7,2.7,1.0,1.23975e-07
28,96.34,0.81,0.94,1.507e-07,121.8,-2.8,2.8,-4.5,3.1,1.1,1.494944e-07
29,95.34,0.81,0.94,1.74e-07,122.5,-2.5,10.0,-5.4,-7.7,0.8,1.9661999999999997e-07
