,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,125.97,0.79,0.7,1.422e-09,123.6,14.7,17.2,18.9,20.3,4.7,1.602594e-09
1,125.87,0.79,0.7,1.444e-09,123.5,14.6,20.2,19.0,23.5,4.8,1.560964e-09
2,125.77,0.79,0.7,1.467e-09,123.4,14.6,17.9,19.0,21.6,5.1,1.455264e-09
3,125.67,0.79,0.7,1.49e-09,123.3,14.5,15.7,19.1,20.8,5.6,1.6479400000000002e-09
4,125.57,0.79,0.7,1.514e-09,123.1,14.4,16.6,19.2,18.5,6.6,1.83951e-09
5,125.47,0.79,0.7,1.537e-09,123.0,14.4,18.8,19.2,20.1,6.1,1.7767719999999999e-09
6,125.37,0.79,0.7,1.562e-09,122.9,14.3,22.2,19.3,19.1,5.9,1.747878e-09
7,125.27,0.79,0.7,1.586e-09,122.8,14.3,23.9,19.4,20.9,6.4,1.8318299999999999e-09
8,125.17,0.79,0.7,1.611e-09,122.7,14.2,26.1,19.4,19.5,6.1,1.838151e-09
9,125.07,0.79,0.7,1.637e-09,122.5,14.1,23.7,19.5,18.9,5.7,1.939845e-09
10,124.97,0.79,0.7,1.662e-09,122.4,14.1,23.9,19.6,19.8,5.4,1.8115800000000003e-09
11,124.87,0.79,0.7,1.689e-09,122.3,14.0,24.7,19.6,17.9,5.4,2.001465e-09
12,124.77,0.79,0.7,1.715e-09,122.2,14.0,24.6,19.7,15.9,4.2,2.1831949999999997e-09
13,124.67,0.79,0.7,1.742e-09,122.0,13.9,23.2,19.8,15.7,3.5,2.365636e-09
14,124.57,0.79,0.7,1.77e-09,121.9,13.8,23.6,19.8,15.8,4.3,2.25498e-09
15,124.47,0.79,0.7,1.798e-09,121.8,13.8,23.3,19.9,16.0,4.2,2.465058e-09
16,124.37,0.79,0.7,1.826e-09,121.7,13.7,19.4,20.0,17.8,4.5,2.399364e-09
17,124.27,0.79,0.7,1.855e-09,121.6,13.7,17.5,20.0,19.1,4.2,2.606275e-09
18,124.17,0.79,0.7,1.884e-09,121.4,13.6,17.3,20.1,23.1,3.6,2.4793440000000003e-09
19,124.07,0.79,0.7,1.914e-09,121.3,13.6,16.3,20.2,25.9,3.8,2.5551899999999997e-09
