,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,124.06,0.82,0.11,1.918e-09,121.6,13.0,22.0,20.4,-6.3,2.0,1.2946500000000003e-09
1,123.06,0.82,0.11,2.259e-09,120.3,12.1,18.7,20.8,-8.0,3.6,1.353141e-09
2,122.06,0.82,0.11,2.667e-09,119.0,11.0,14.9,20.9,-6.3,3.5,2.112264e-09
3,121.06,0.82,0.11,3.15e-09,117.8,9.9,3.3,21.1,-6.0,5.3,1.84905e-09
4,120.06,0.82,0.11,3.721e-09,116.5,8.7,0.1,21.3,-5.0,4.2,2.801913e-09
5,119.06,0.82,0.11,4.396e-09,115.2,7.6,-8.1,21.5,-2.7,5.8,3.094784e-09
6,118.06,0.82,0.11,5.186e-09,114.4,6.3,-14.0,21.1,-11.0,5.8,3.988034e-09
7,117.06,0.82,0.11,6.116e-09,113.7,4.9,-21.1,20.4,5.0,4.9,4.587e-09
8,116.06,0.82,0.11,7.212e-09,113.0,3.5,-18.1,19.8,-3.6,3.8,4.312776e-09
9,115.06,0.82,0.11,8.506e-09,112.3,2.2,-13.6,19.2,7.8,4.3,5.299238e-09
10,114.06,0.82,0.11,1.003e-08,111.6,0.8,-22.1,18.5,15.8,3.4,7.031029999999999e-09
11,113.06,0.82,0.11,1.181e-08,111.5,-0.3,-21.2,17.4,18.2,1.5,7.617449999999999e-09
12,112.06,0.82,0.11,1.388e-08,111.6,-1.2,-18.7,16.1,34.2,2.8,9.81316e-09
13,111.06,0.82,0.11,1.632e-08,111.7,-2.1,-26.1,14.8,20.9,2.6,1.1375039999999999e-08
14,110.06,0.82,0.11,1.919e-08,111.8,-3.1,-24.4,13.4,16.3,1.7,1.646502e-08
15,109.06,0.82,0.11,2.256e-08,111.9,-4.0,-12.1,12.1,18.9,3.4,2.2018560000000002e-08
16,108.06,0.82,0.11,2.637e-08,112.5,-4.4,-8.7,10.7,19.1,4.4,2.618541e-08
17,107.06,0.82,0.11,3.075e-08,113.2,-4.6,-7.2,9.3,14.5,4.3,2.74905e-08
18,106.06,0.82,0.11,3.585e-08,113.9,-4.8,-5.9,7.9,13.4,4.7,3.13329e-08
19,105.06,0.82,0.11,4.181e-08,114.6,-5.0,-4.2,6.5,11.1,4.1,3.558031e-08
20,104.06,0.82,0.11,4.876e-08,115.3,-5.2,12.1,5.0,13.8,2.1,3.969064e-08
