,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,125.29,-0.84,0.98,1.595e-09,121.9,16.4,30.9,18.0,-3.9,5.7,1.366915e-09
1,124.29,-0.84,0.98,1.867e-09,120.7,15.6,17.3,18.5,16.0,3.1,1.9846209999999996e-09
2,123.29,-0.84,0.98,2.193e-09,119.5,14.7,15.0,18.7,27.2,4.4,2.491248e-09
3,122.29,-0.84,0.98,2.588e-09,118.3,13.4,5.4,18.6,35.0,3.3,3.788832e-09
4,121.29,-0.84,0.98,3.054e-09,117.1,12.2,5.5,18.6,45.6,2.5,4.067928e-09
5,120.29,-0.84,0.98,3.606e-09,115.9,11.0,9.1,18.5,41.4,1.2,4.8284340000000005e-09
6,119.29,-0.84,0.98,4.257e-09,114.7,9.7,7.2,18.4,43.3,0.8,6.462126e-09
7,118.29,-0.84,0.98,5.025e-09,113.8,8.4,-3.6,18.0,39.3,2.6,5.87925e-09
8,117.29,-0.84,0.98,5.929e-09,113.2,6.9,-5.9,17.3,41.7,5.2,7.731416e-09
9,116.29,-0.84,0.98,6.998e-09,112.6,5.5,-6.7,16.5,33.4,5.1,8.355612e-09
10,115.29,-0.84,0.98,8.26e-09,112.0,4.0,-10.9,15.7,38.2,4.1,1.0126759999999998e-08
11,114.29,-0.84,0.98,9.75e-09,111.4,2.6,-5.9,14.9,27.0,3.3,1.182675e-08
12,113.29,-0.84,0.98,1.148e-08,111.2,1.4,-3.1,14.0,23.6,2.0,1.1353719999999999e-08
13,112.29,-0.84,0.98,1.349e-08,111.4,0.5,5.7,12.8,25.8,3.8,1.548652e-08
14,111.29,-0.84,0.98,1.584e-08,111.6,-0.5,0.3,11.6,26.8,1.6,2.198592e-08
15,110.29,-0.84,0.98,1.86e-08,111.8,-1.4,0.0,10.5,21.1,0.8,2.3008200000000004e-08
16,109.29,-0.84,0.98,2.185e-08,112.0,-2.3,7.6,9.3,24.5,-0.0,2.283325e-08
17,108.29,-0.84,0.98,2.557e-08,112.5,-2.9,13.0,8.1,23.1,-1.0,2.513531e-08
18,107.29,-0.84,0.98,2.979e-08,113.3,-3.2,1.4,7.0,20.7,-0.7,3.550968e-08
19,106.29,-0.84,0.98,3.47e-08,114.1,-3.4,-4.2,5.9,18.3,-0.8,2.9564399999999998e-08
20,105.29,-0.84,0.98,4.043e-08,114.9,-3.6,2.6,4.7,11.1,-0.9,3.574012e-08
21,104.29,-0.84,0.98,4.711e-08,115.7,-3.8,-3.9,3.6,14.0,0.0,3.811199000000001e-08
22,103.29,-0.84,0.98,5.474e-08,116.5,-3.9,-4.9,2.6,18.1,1.0,4.384674e-08
23,102.29,-0.84,0.99,6.342e-08,117.4,-3.7,5.8,1.6,9.0,0.5,4.781868e-08
24,101.29,-0.84,0.99,7.348e-08,118.3,-3.6,7.8,0.7,5.7,0.0,4.99664e-08
25,100.29,-0.84,0.99,8.514e-08,119.3,-3.4,14.6,-0.2,-2.6,-0.0,6.606864e-08
26,99.29,-0.84,0.99,9.865e-08,120.2,-3.2,15.6,-1.2,-6.1,-0.8,9.213910000000001e-08
27,98.29,-0.84,0.99,1.141e-07,121.0,-3.0,13.0,-2.0,-5.6,-2.1,1.0691170000000001e-07
28,97.29,-0.84,0.99,1.315e-07,121.7,-2.6,5.3,-2.7,-10.2,-0.9,1.226895e-07
29,96.29,-0.84,0.99,1.517e-07,122.4,-2.3,7.1,-3.4,-8.5,-1.2,1.585265e-07
30,95.29,-0.84,0.99,1.75e-07,123.1,-2.0,11.2,-4.1,-3.0,-0.1,1.5155e-07
31,94.29,-0.84,0.99,2.018e-07,123.8,-1.6,10.9,-4.8,-3.9,-1.1,1.600274e-07
32,93.29,-0.84,0.99,2.354e-07,124.5,-1.3,4.5,-5.3,-1.2,-1.2,1.75373e-07
33,92.29,-0.84,0.99,2.778e-07,125.0,-1.1,9.7,-5.6,0.4,-1.0,2.061276e-07
34,91.29,-0.84,0.99,3.28e-07,125.6,-0.8,1.7,-5.9,-6.6,-1.7,2.72896e-07
35,90.29,-0.84,0.99,3.872e-07,126.2,-0.5,12.1,-6.1,-15.6,-1.6,2.760736e-07
36,89.29,-0.84,0.99,4.572e-07,126.7,-0.2,11.5,-6.4,-18.8,-0.9,3.1821119999999995e-07
37,88.29,-0.84,0.99,5.62e-07,127.5,-0.1,1.4,-6.5,-14.6,-0.5,4.2712e-07
38,87.29,-0.84,0.99,7.218e-07,128.3,-0.1,4.3,-6.5,-1.0,0.4,6.113646e-07
39,86.29,-0.84,0.99,9.27e-07,129.2,-0.2,2.4,-6.4,-5.2,1.3,8.42643e-07
40,85.29,-0.84,0.99,1.191e-06,130.1,-0.2,13.8,-6.3,-0.4,2.8,1.289853e-06
41,84.29,-0.84,0.99,1.53e-06,131.0,-0.2,10.0,-6.2,-1.0,1.5,1.57437e-06
42,83.29,-0.84,0.99,1.835e-06,130.8,1.7,8.9,-4.8,4.6,1.7,1.95978e-06
43,82.29,-0.84,0.99,2.045e-06,129.3,5.9,13.0,-1.9,13.5,2.3,2.44173e-06
44,81.29,-0.84,0.99,2.279e-06,127.8,10.0,9.2,0.9,10.4,1.3,2.422577e-06
45,80.29,-0.84,0.99,2.541e-06,126.3,14.1,14.2,3.8,19.7,1.6,2.736657e-06
