,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,125.99,-0.78,0.52,1.428e-09,122.9,16.6,-2.8,17.8,16.1,-0.8,1.368024e-09
1,124.99,-0.78,0.52,1.671e-09,121.7,15.9,3.8,18.3,22.0,-0.9,1.990161e-09
2,123.99,-0.78,0.52,1.956e-09,120.4,15.2,-0.1,18.8,15.3,-0.7,2.124216e-09
3,122.99,-0.78,0.52,2.304e-09,119.2,14.1,12.5,18.9,2.1,1.9,2.403072e-09
4,121.99,-0.78,0.52,2.719e-09,118.0,12.9,15.3,18.8,10.0,3.0,2.8522309999999997e-09
5,120.99,-0.78,0.52,3.21e-09,116.8,11.7,12.3,18.8,14.6,1.5,3.7043399999999996e-09
6,119.99,-0.78,0.52,3.789e-09,115.6,10.5,5.8,18.8,6.8,0.7,3.785211e-09
7,118.99,-0.78,0.52,4.475e-09,114.4,9.3,7.7,18.8,17.1,-1.9,3.91115e-09
8,117.99,-0.78,0.52,5.281e-09,113.6,7.9,7.2,18.2,15.3,-2.3,4.024122e-09
9,116.99,-0.78,0.52,6.233e-09,113.0,6.4,6.5,17.4,15.4,0.1,5.310516e-09
10,115.99,-0.78,0.52,7.358e-09,112.4,4.9,4.5,16.7,8.0,-1.7,8.785451999999999e-09
11,114.99,-0.78,0.52,8.686e-09,111.8,3.5,5.6,15.9,3.1,-2.0,8.529652000000001e-09
12,113.99,-0.78,0.52,1.025e-08,111.2,2.0,6.7,15.2,11.3,-3.2,1.083425e-08
13,112.99,-0.78,0.52,1.206e-08,111.2,1.0,18.1,14.1,14.3,-2.2,1.562976e-08
14,111.99,-0.78,0.52,1.417e-08,111.4,0.1,12.5,12.9,15.5,-0.4,2.1283340000000002e-08
15,110.99,-0.78,0.52,1.664e-08,111.6,-0.9,5.8,11.7,6.9,-0.7,2.30464e-08
16,109.99,-0.78,0.52,1.955e-08,111.8,-1.8,17.0,10.5,0.4,-1.3,2.1583200000000003e-08
17,108.99,-0.78,0.52,2.297e-08,112.0,-2.8,7.7,9.4,0.1,-1.3,2.4164440000000002e-08
18,107.99,-0.78,0.52,2.681e-08,112.6,-3.2,4.7,8.2,3.3,-4.2,3.219881e-08
19,106.99,-0.78,0.52,3.124e-08,113.4,-3.4,0.9,7.1,-2.3,-4.9,4.686e-08
