,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,125.72,0.72,0.83,1.48e-09,123.5,14.3,21.3,19.1,15.4,0.6,2.29104e-09
1,124.72,0.72,0.83,1.73e-09,122.2,13.7,28.0,19.8,6.7,2.3,2.35799e-09
2,123.72,0.72,0.83,2.024e-09,121.0,13.1,19.2,20.5,10.1,3.7,1.898512e-09
3,122.72,0.72,0.83,2.39e-09,119.7,12.0,13.4,20.6,18.2,2.2,2.7819599999999998e-09
4,121.72,0.72,0.83,2.822e-09,118.5,10.8,9.1,20.8,32.1,2.3,3.4964580000000003e-09
5,120.72,0.72,0.83,3.332e-09,117.2,9.7,8.6,20.9,32.8,2.9,3.5519120000000002e-09
6,119.72,0.72,0.83,3.936e-09,116.0,8.6,9.8,21.0,29.0,1.4,3.947807999999999e-09
7,118.72,0.72,0.83,4.649e-09,114.8,7.4,7.3,21.1,30.4,-0.6,4.583914e-09
8,117.72,0.72,0.83,5.482e-09,114.1,6.0,0.7,20.5,34.6,0.9,5.218864e-09
9,116.72,0.72,0.83,6.464e-09,113.4,4.6,-6.0,19.8,39.0,-0.3,6.7031679999999995e-09
10,115.72,0.72,0.83,7.623e-09,112.7,3.2,0.4,19.1,41.4,-2.3,6.944553e-09
11,114.72,0.72,0.83,8.991e-09,112.0,1.8,-1.2,18.4,35.9,0.5,7.660331999999999e-09
12,113.72,0.72,0.83,1.06e-08,111.4,0.5,-17.3,17.7,35.2,-1.8,7.9606e-09
13,112.72,0.72,0.83,1.246e-08,111.5,-0.4,-16.3,16.4,32.9,0.4,1.029196e-08
14,111.72,0.72,0.83,1.465e-08,111.7,-1.4,-12.5,15.1,32.1,0.5,1.25404e-08
15,110.72,0.72,0.83,1.722e-08,111.8,-2.3,-15.7,13.8,25.3,1.0,1.465422e-08
16,109.72,0.72,0.83,2.025e-08,111.9,-3.2,-21.7,12.5,24.0,1.0,1.658475e-08
17,108.72,0.72,0.83,2.379e-08,112.1,-4.1,-12.3,11.1,16.5,0.9,2.459886e-08
18,107.72,0.72,0.83,2.774e-08,112.8,-4.3,-16.8,9.7,28.6,3.1,2.835028e-08
19,106.72,0.72,0.83,3.234e-08,113.5,-4.5,-21.1,8.3,15.4,2.8,3.58974e-08
20,105.72,0.72,0.83,3.77e-08,114.2,-4.7,-23.8,6.9,12.6,1.0,3.38169e-08
21,104.72,0.72,0.83,4.396e-08,114.9,-4.9,-23.3,5.5,3.5,2.1,3.6750559999999995e-08
22,103.72,0.72,0.83,5.125e-08,115.7,-5.1,-17.3,4.1,0.1,1.9,4.064125e-08
23,102.72,0.72,0.83,5.943e-08,116.5,-4.9,-16.5,2.9,-5.1,2.6,4.21953e-08
24,101.72,0.72,0.84,6.893e-08,117.4,-4.7,-23.1,1.7,-2.9,0.4,4.377055e-08
25,100.72,0.72,0.84,7.995e-08,118.3,-4.5,-16.0,0.5,3.4,0.8,6.61986e-08
26,99.72,0.72,0.84,9.274e-08,119.2,-4.3,-11.1,-0.6,-0.2,2.4,7.69742e-08
27,98.72,0.72,0.84,1.076e-07,120.0,-4.1,-5.5,-1.8,-10.0,3.1,9.081439999999999e-08
28,97.72,0.72,0.84,1.241e-07,120.8,-3.8,-1.6,-2.7,-9.2,0.8,9.369550000000001e-08
29,96.72,0.72,0.84,1.433e-07,121.5,-3.4,-1.5,-3.6,-6.0,-1.0,1.053255e-07
30,95.72,0.72,0.84,1.654e-07,122.2,-3.0,0.9,-4.5,-7.0,-1.7,1.3016980000000002e-07
31,94.72,0.72,0.84,1.91e-07,123.0,-2.7,-6.0,-5.3,-6.5,-0.9,1.6941700000000001e-07
32,93.72,0.72,0.84,2.208e-07,123.7,-2.3,-1.4,-6.2,-4.5,-0.3,2.002656e-07
33,92.72,0.72,0.84,2.612e-07,124.3,-2.0,6.1,-6.5,2.8,0.5,2.1757959999999997e-07
34,91.72,0.72,0.84,3.09e-07,124.9,-1.7,1.7,-6.9,2.8,-0.3,2.6450399999999997e-07
35,90.72,0.72,0.84,3.655e-07,125.5,-1.4,2.9,-7.3,1.6,0.2,2.934965e-07
