,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,125.75,-0.79,359.58,1.484e-09,123.0,15.8,-12.4,18.0,27.5,1.4,2.215612e-09
1,124.75,-0.79,359.58,1.736e-09,121.7,15.2,-12.2,18.5,28.9,1.7,2.555392e-09
2,123.75,-0.79,359.58,2.032e-09,120.4,14.6,-23.8,19.1,21.6,0.5,3.753104e-09
3,122.75,-0.79,359.58,2.399e-09,119.1,13.4,-23.8,19.2,13.6,-0.3,3.847996e-09
4,121.75,-0.79,359.58,2.833e-09,117.9,12.3,-15.9,19.2,20.4,-0.6,3.935037e-09
5,120.75,-0.79,359.58,3.345e-09,116.6,11.1,-7.8,19.2,33.8,-2.6,5.22489e-09
6,119.75,-0.79,359.58,3.951e-09,115.4,9.9,-20.2,19.3,20.5,-1.6,4.271031e-09
7,118.75,-0.79,359.58,4.667e-09,114.1,8.8,-15.0,19.3,14.4,-2.1,4.839678999999999e-09
8,117.75,-0.79,359.58,5.51e-09,113.5,7.3,-23.4,18.6,2.9,-2.7,8.09419e-09
9,116.75,-0.79,359.58,6.506e-09,112.8,5.9,-14.4,17.9,8.9,-2.6,8.809124e-09
10,115.75,-0.79,359.58,7.682e-09,112.2,4.4,-17.2,17.2,17.6,-1.4,1.1884054e-08
11,114.75,-0.79,359.58,9.073e-09,111.5,3.0,-6.0,16.5,11.4,-1.9,1.3310091e-08
12,113.75,-0.79,359.58,1.071e-08,110.9,1.5,-10.6,15.8,12.7,-1.2,1.497258e-08
13,112.75,-0.79,359.58,1.259e-08,111.1,0.6,-20.1,14.7,8.2,-1.9,1.4025260000000002e-08
14,111.75,-0.79,359.58,1.48e-08,111.3,-0.4,-23.3,13.5,2.7,-0.9,1.2979600000000001e-08
15,110.75,-0.79,359.58,1.739e-08,111.4,-1.4,-18.3,12.4,-5.0,-2.4,1.923334e-08
16,109.75,-0.79,359.58,2.044e-08,111.6,-2.3,-17.7,11.2,-11.9,0.9,1.710828e-08
17,108.75,-0.79,359.58,2.402e-08,111.8,-3.3,-22.0,10.1,-12.2,0.9,1.782284e-08
18,107.75,-0.79,359.58,2.799e-08,112.6,-3.6,-16.3,8.9,-4.0,1.9,2.046069e-08
19,106.75,-0.79,359.58,3.262e-08,113.4,-3.8,-11.4,7.7,-1.1,0.8,2.3290679999999997e-08
