,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,125.98,-0.02,359.73,1.426e-09,123.5,15.3,22.4,18.4,20.2,-5.6,2.2188560000000003e-09
1,124.98,-0.02,359.73,1.668e-09,122.2,14.7,13.5,19.0,32.5,-5.3,1.929876e-09
2,123.98,-0.02,359.73,1.951e-09,120.9,14.1,17.5,19.6,20.8,-6.8,2.132443e-09
3,122.98,-0.02,359.73,2.299e-09,119.7,13.1,15.0,19.8,20.7,-5.7,2.5472920000000004e-09
4,121.98,-0.02,359.73,2.714e-09,118.4,11.9,23.4,19.9,20.1,-4.5,2.412746e-09
5,120.98,-0.02,359.73,3.205e-09,117.2,10.7,9.1,20.0,29.7,-3.2,2.894115e-09
6,119.98,-0.02,359.73,3.785e-09,116.0,9.6,4.9,20.1,26.2,-3.1,3.33837e-09
7,118.98,-0.02,359.73,4.471e-09,114.7,8.4,10.5,20.1,15.6,-2.3,4.149088e-09
8,117.98,-0.02,359.73,5.275e-09,113.9,7.0,15.1,19.6,9.3,-1.6,4.9163000000000005e-09
9,116.98,-0.02,359.73,6.224e-09,113.3,5.6,11.1,18.9,2.3,-3.3,6.043504e-09
10,115.98,-0.02,359.73,7.344e-09,112.6,4.2,2.4,18.2,-2.7,-4.7,4.876416e-09
11,114.98,-0.02,359.73,8.666e-09,112.0,2.8,0.9,17.5,-6.2,-3.4,5.182268e-09
12,113.98,-0.02,359.73,1.023e-08,111.3,1.4,-4.2,16.8,0.6,-3.0,9.841259999999999e-09
13,112.98,-0.02,359.73,1.203e-08,111.3,0.3,3.5,15.7,2.4,-1.4,1.4965319999999998e-08
14,111.98,-0.02,359.73,1.414e-08,111.5,-0.6,8.3,14.5,6.1,-0.6,1.952734e-08
15,110.98,-0.02,359.73,1.662e-08,111.6,-1.5,-8.9,13.2,-2.5,0.5,2.325138e-08
16,109.98,-0.02,359.73,1.953e-08,111.8,-2.5,-12.9,12.0,-2.6,1.0,2.693187e-08
17,108.98,-0.02,359.73,2.296e-08,111.9,-3.4,-10.9,10.7,-9.5,1.0,2.9549519999999996e-08
18,107.98,-0.02,359.73,2.68e-08,112.6,-3.8,-7.2,9.5,-18.3,0.1,3.61532e-08
19,106.98,-0.02,359.73,3.124e-08,113.3,-4.0,-7.2,8.2,-18.3,0.0,3.9268679999999996e-08
20,105.98,-0.02,359.73,3.642e-08,114.1,-4.3,-9.2,6.9,-16.4,0.7,4.632624e-08
21,104.98,-0.02,359.73,4.245e-08,114.8,-4.5,-9.0,5.6,-17.6,0.8,5.395395e-08
22,103.98,-0.02,359.73,4.949e-08,115.6,-4.7,-8.9,4.3,-7.1,0.4,4.483794e-08
23,102.98,-0.02,359.73,5.744e-08,116.5,-4.7,-4.8,3.2,-16.1,-1.1,5.209808e-08
24,101.98,-0.02,359.73,6.658e-08,117.4,-4.5,-1.1,2.1,-15.1,-0.9,4.9935000000000003e-08
25,100.98,-0.02,359.73,7.719e-08,118.3,-4.3,-2.3,1.0,-5.7,0.8,6.669216e-08
26,99.98,-0.02,359.73,8.95e-08,119.2,-4.2,-1.9,-0.0,-5.5,-0.0,8.6636e-08
27,98.98,-0.02,359.73,1.038e-07,120.1,-4.0,2.8,-1.1,-6.9,-0.0,9.9129e-08
28,97.98,-0.02,359.73,1.198e-07,120.8,-3.7,-2.4,-2.0,-15.1,1.6,9.83558e-08
29,96.98,-0.02,359.73,1.383e-07,121.6,-3.3,-8.0,-2.8,-17.1,2.0,1.0815059999999999e-07
30,95.98,-0.02,359.73,1.595e-07,122.3,-3.0,-12.4,-3.6,-19.4,2.1,1.204225e-07
31,94.98,-0.02,359.73,1.841e-07,123.0,-2.7,-10.4,-4.4,-18.3,0.8,1.493051e-07
32,93.98,-0.02,359.73,2.124e-07,123.8,-2.3,-3.6,-5.2,-12.2,1.1,1.877616e-07
33,92.98,-0.02,359.73,2.497e-07,124.4,-2.0,-2.0,-5.7,-14.7,1.3,2.177384e-07
34,91.98,-0.02,359.73,2.951e-07,125.0,-1.7,-9.7,-6.1,-11.7,1.3,2.682459e-07
35,90.98,-0.02,359.73,3.487e-07,125.6,-1.4,-15.1,-6.4,-11.0,1.4,2.9918459999999997e-07
36,89.98,-0.02,359.73,4.121e-07,126.2,-1.1,-12.5,-6.8,-16.4,2.4,3.523455e-07
37,88.98,-0.02,359.73,4.869e-07,126.8,-0.8,-0.5,-7.1,-23.0,2.0,3.9049380000000007e-07
