,HgtMOLA,LatPC,LonW,Denkgm3,Temp,EWind,EWTot,NWind,NWTot,VWind,DensP
0,125.59,-0.6,359.7,1.52e-09,122.6,15.8,26.9,18.2,5.0,-2.5,6.5056e-10
1,124.59,-0.6,359.7,1.778e-09,121.4,15.2,28.4,18.7,3.4,-0.2,6.4008e-10
2,123.59,-0.6,359.7,2.084e-09,120.1,14.5,44.3,19.2,11.1,-0.3,1.12536e-09
3,122.59,-0.6,359.7,2.46e-09,118.9,13.3,51.1,19.2,12.9,0.9,1.07502e-09
4,121.59,-0.6,359.7,2.904e-09,117.7,12.1,51.7,19.2,14.3,1.8,1.896312e-09
5,120.59,-0.6,359.7,3.429e-09,116.4,10.9,43.9,19.2,12.2,1.8,2.139696e-09
6,119.59,-0.6,359.7,4.049e-09,115.2,9.7,47.9,19.3,21.2,1.4,2.9760150000000003e-09
7,118.59,-0.6,359.7,4.782e-09,114.1,8.5,51.8,19.1,23.3,1.7,3.356964e-09
8,117.59,-0.6,359.7,5.643e-09,113.4,7.0,49.4,18.4,16.1,1.8,5.214132e-09
9,116.59,-0.6,359.71,6.661e-09,112.8,5.6,41.9,17.7,15.0,1.8,5.721799e-09
10,115.59,-0.6,359.71,7.863e-09,112.2,4.1,30.4,17.0,13.2,1.7,7.737192e-09
11,114.59,-0.6,359.71,9.283e-09,111.6,2.7,34.9,16.3,10.6,0.4,8.131908e-09
12,113.59,-0.6,359.71,1.095e-08,111.1,1.3,26.8,15.4,4.7,1.5,1.067625e-08
13,112.59,-0.6,359.71,1.287e-08,111.3,0.4,29.9,14.3,10.1,0.9,1.129986e-08
14,111.59,-0.6,359.71,1.512e-08,111.4,-0.5,23.5,13.1,12.4,1.4,1.351728e-08
15,110.59,-0.6,359.71,1.776e-08,111.6,-1.5,24.7,11.9,11.1,-0.5,2.1667200000000002e-08
16,109.59,-0.6,359.71,2.087e-08,111.8,-2.4,19.8,10.7,13.1,-0.3,2.617098e-08
17,108.59,-0.6,359.71,2.449e-08,112.1,-3.3,14.9,9.5,20.4,0.4,2.8163499999999996e-08
18,107.59,-0.6,359.71,2.854e-08,112.9,-3.5,8.8,8.3,15.7,0.9,3.6845139999999995e-08
19,106.59,-0.6,359.71,3.326e-08,113.7,-3.8,13.0,7.1,8.6,0.8,3.715142e-08
20,105.59,-0.6,359.71,3.876e-08,114.4,-4.0,8.9,6.0,6.6,-0.9,5.162832e-08
21,104.59,-0.6,359.71,4.518e-08,115.2,-4.3,4.6,4.8,6.5,-0.2,5.710752e-08
22,103.59,-0.6,359.71,5.26e-08,116.0,-4.4,3.0,3.6,12.4,0.7,5.06012e-08
23,102.59,-0.6,359.71,6.095e-08,117.0,-4.3,6.6,2.6,9.5,1.2,7.058009999999999e-08
24,101.59,-0.6,359.71,7.064e-08,117.9,-4.1,7.2,1.6,1.8,1.8,8.434416e-08
25,100.59,-0.6,359.71,8.186e-08,118.8,-4.0,-2.2,0.6,-3.1,3.2,1.0543568000000001e-07
26,99.59,-0.6,359.71,9.488e-08,119.7,-3.8,-6.2,-0.3,-3.1,2.4,1.204976e-07
27,98.59,-0.6,359.71,1.099e-07,120.6,-3.7,-2.9,-1.3,0.1,3.6,1.24187e-07
28,97.59,-0.6,359.71,1.267e-07,121.3,-3.3,12.3,-2.1,-4.7,5.1,1.2239219999999999e-07
29,96.59,-0.6,359.71,1.461e-07,122.0,-3.0,18.7,-2.8,-6.0,3.6,1.4113259999999998e-07
30,95.59,-0.6,359.71,1.686e-07,122.8,-2.7,21.8,-3.6,-9.7,4.9,1.5173999999999998e-07
31,94.59,-0.6,359.71,1.944e-07,123.5,-2.3,17.7,-4.3,-15.0,3.3,1.537704e-07
32,93.59,-0.6,359.71,2.252e-07,124.2,-2.0,10.5,-5.0,-8.9,1.0,1.889428e-07
33,92.59,-0.6,359.71,2.659e-07,124.8,-1.7,5.7,-5.3,-19.3,1.4,2.318648e-07
34,91.59,-0.6,359.71,3.139e-07,125.4,-1.4,7.2,-5.7,-12.2,0.6,2.621065e-07
35,90.59,-0.6,359.71,3.706e-07,126.0,-1.1,9.0,-6.0,-15.7,1.4,3.5466419999999996e-07
36,89.59,-0.6,359.71,4.376e-07,126.6,-0.9,0.7,-6.4,-13.8,1.6,4.3103599999999997e-07
37,88.59,-0.6,359.71,5.245e-07,127.2,-0.6,0.5,-6.6,-14.0,2.4,5.05618e-07
38,87.59,-0.6,359.71,6.732e-07,128.1,-0.6,-1.8,-6.5,-16.0,2.4,6.274224e-07
39,86.59,-0.6,359.71,8.64e-07,129.0,-0.6,2.1,-6.5,-14.5,1.1,6.851520000000001e-07
40,85.59,-0.6,359.71,1.109e-06,129.9,-0.6,-1.4,-6.4,-18.9,2.6,1.052441e-06
41,84.59,-0.6,359.71,1.424e-06,130.8,-0.6,-0.6,-6.3,-19.1,1.6,1.193312e-06
42,83.59,-0.6,359.71,1.782e-06,131.3,0.1,-1.1,-5.7,-13.8,1.0,1.593108e-06
43,82.59,-0.6,359.71,1.984e-06,129.8,4.1,7.9,-2.7,-5.6,0.7,1.91456e-06
44,81.59,-0.6,359.71,2.209e-06,128.3,8.1,12.7,0.4,-3.5,0.2,2.178074e-06
45,80.59,-0.6,359.71,2.461e-06,126.8,12.1,13.5,3.4,5.9,-1.6,2.1435309999999997e-06
46,79.59,-0.6,359.71,2.741e-06,125.3,16.1,16.7,6.4,11.0,-2.2,2.502533e-06
47,78.59,-0.6,359.71,3.055e-06,123.8,20.1,18.9,9.5,16.3,-1.6,2.862535e-06
48,77.59,-0.6,359.71,3.404e-06,122.3,24.1,23.4,12.5,24.5,-2.3,2.907016e-06
49,76.59,-0.6,359.71,3.794e-06,120.8,28.1,33.0,15.6,20.7,-3.0,3.217312e-06
50,75.59,-0.6,359.71,4.23e-06,119.3,32.1,31.5,18.6,26.2,-2.3,3.3924600000000003e-06
51,74.59,-0.6,359.71,5.318e-06,118.8,31.6,40.0,18.6,23.5,-2.5,4.6372959999999995e-06
52,73.59,-0.6,359.71,6.269e-06,119.6,24.5,31.1,14.2,19.0,-2.3,5.6421e-06
53,72.59,-0.6,359.71,7.391e-06,120.4,17.3,26.0,9.9,13.0,-1.0,6.844066000000001e-06
54,71.59,-0.6,359.71,8.714e-06,121.2,10.2,16.4,5.5,12.3,0.6,8.095306e-06
55,70.59,-0.6,359.71,1.027e-05,121.9,3.1,2.1,1.1,5.8,-0.4,9.468940000000001e-06
56,69.59,-0.6,359.71,9.645e-06,124.0,-3.3,-5.6,-2.0,10.4,-0.4,9.182039999999999e-06
57,68.59,-0.6,359.71,1.03e-05,127.9,-8.8,-10.1,-3.4,4.5,-0.8,1.02382e-05
